name,mixed_garbage,burnable_garbage,non_burnable_garbage,recyclable_garbage,other_garbage,oversized_garbage
北海道,33238,712045,105722,277199,8776,41103
青森県,0,246216,19313,33125,100,10140
岩手県,5886,205855,13269,38963,74,7346
宮城県,0,434750,9710,90363,423,15844
秋田県,57289,135299,5962,31635,39,6855
山形県,0,194666,13686,24980,365,4909
福島県,0,399021,25763,59260,127,10569
茨城県,7658,591290,43335,79717,594,24060
栃木県,0,379291,22212,69408,467,11794
群馬県,0,437901,22409,50432,2089,16300
埼玉県,113186,1212408,93771,285275,2201,46218
千葉県,0,1085607,75421,229629,10406,54847
東京都,0,2308576,94655,627813,1982,108105
神奈川県,374249,1080640,35556,409142,807,61064
新潟県,1,371941,25454,127911,843,17500
富山県,0,197159,15694,29503,938,3349
石川県,0,183983,10420,31644,1363,13082
福井県,0,142284,17953,17673,132,9069
山梨県,0,162667,14102,25799,133,6740
長野県,8,300264,20407,87430,506,4883
岐阜県,390,347208,22574,40462,2371,21281
静岡県,0,669408,26068,94954,818,20149
愛知県,24,1317359,87831,254644,5223,55318
三重県,1102,352430,23522,55806,5329,12117
滋賀県,838,232934,17642,41283,814,13582
京都府,184401,172448,24612,51792,1817,12299
大阪府,634539,696678,23873,201419,1554,104141
兵庫県,17099,893938,50230,124133,1567,58966
奈良県,0,224604,18244,31549,2267,13463
和歌山県,72627,110751,7190,27487,609,16814
鳥取県,14,88830,6016,15489,104,2337
島根県,5613,120126,9776,21152,128,2461
岡山県,0,326200,13179,37203,172,17086
広島県,0,403178,25333,105799,863,34438
山口県,548,240496,15758,55449,1331,9197
徳島県,0,135609,17074,30040,1227,7096
香川県,0,144658,17161,41578,203,3630
愛媛県,0,242276,14345,44174,424,17104
高知県,25069,112484,7470,23112,492,8923
福岡県,157328,777682,42494,93355,334,41491
佐賀県,0,145443,10450,16228,289,12348
長崎県,0,256081,17258,31629,1885,4155
熊本県,0,291581,13200,65473,50,6970
大分県,0,204745,14707,40975,29,6949
宮崎県,18,195201,15830,46863,1301,8747
鹿児島県,1542,280704,16715,61969,963,14439
沖縄県,0,250063,11434,52084,1683,12294
