都道府県,合計,生活系ごみ搬入量,事業系ごみ搬入量
北海道,1178083,1178083,523858
青森県,308894,308894,140032
岩手県,271393,271393,120087
宮城県,551090,551090,234358
秋田県,237079,237079,109951
山形県,238606,238606,99673
福島県,494740,494740,199812
茨城県,746654,746654,263283
栃木県,483172,483172,161787
群馬県,529131,529131,156865
埼玉県,1753059,1753059,490738
千葉県,1455910,1455910,525412
東京都,3141131,3141131,880584
神奈川県,1961458,1961458,617922
新潟県,543650,543650,251618
富山県,246643,246643,132424
石川県,240492,240492,131707
福井県,187111,187111,68167
山梨県,209441,209441,75556
長野県,413498,413498,184428
岐阜県,434286,434286,181467
静岡県,811397,811397,309828
愛知県,1720399,1720399,644877
三重県,450306,450306,160925
滋賀県,307093,307093,105812
京都府,447369,447369,249361
大阪府,1662204,1662204,1126598
兵庫県,1145933,1145933,569753
奈良県,290127,290127,115662
和歌山県,235478,235478,80758
鳥取県,112790,112790,86062
島根県,159256,159256,72889
岡山県,393840,393840,224051
広島県,569611,569611,317188
山口県,322779,322779,155579
徳島県,191046,191046,61304
香川県,207230,207230,93858
愛媛県,318323,318323,114146
高知県,177550,177550,67460
福岡県,1112684,1112684,592184
佐賀県,184758,184758,76593
長崎県,311008,311008,150695
熊本県,377274,377274,173296
大分県,267405,267405,124761
宮崎県,267960,267960,114943
鹿児島県,376332,376332,165206
沖縄県,327558,327558,149362
