name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
札幌市第３山口処理場,"[141.354401, 43.062077]",札幌市(北海道),20,平地,混合・可燃ごみ・不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,3386000,埋立中,北海道札幌市
札幌市第２山口処理場,"[141.354401, 43.062077]",札幌市(北海道),100,平地,混合・不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,2053000,埋立終了,北海道札幌市
札幌市山本処理場,"[141.354401, 43.062077]",札幌市(北海道),69,平地,混合・不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,10998000,埋立中,北海道札幌市
函館市七五郎廃棄物最終処分場,"[140.728943, 41.768688]",函館市(北海道),86,山間,不燃ごみ・その他・直接搬入ごみ,2362000,埋立中,北海道函館市
函館市中の沢ごみ埋立処分場,"[140.741837, 41.784119]",函館市(北海道),100,山間,可燃ごみ・その他,4178000,埋立終了,北海道函館市中島町
小樽市廃棄物処理場,"[140.994492, 43.190704]",小樽市(北海道),100,山間,可燃ごみ・不燃ごみ・粗大ごみ・焼却残渣,1862000,埋立中,北海道小樽市
小樽市廃棄物最終処分場,"[140.994492, 43.190704]",小樽市(北海道),6,山間,可燃ごみ・不燃ごみ・粗大ごみ,1033000,埋立中,北海道小樽市
旭川市中園廃棄物最終処分場,"[142.363632, 43.775459]",旭川市(北海道),88,山間,混合・可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,4556100,埋立中,北海道旭川市中常盤町
室蘭市神代最終処分場,"[141.000793, 42.396034]",室蘭市(北海道),16,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,1299169,埋立中,北海道室蘭市神代町
釧路市高山ごみ最終処分場,"[144.463989, 42.9655]",釧路市(北海道),91,山間,混合・可燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査,1942913,埋立中,北海道釧路市高山
釧路市新高山ごみ最終処分場,"[144.381989, 42.999065]",釧路市(北海道),0,山間,混合・可燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,844000,埋立前,北海道釧路市新栄町
北見市廃棄物処理場最終処分場,"[143.894684, 43.802906]",北見市(北海道),0,山間,破砕ごみ・中間処理残査・焼却残渣,168000,埋立前,北海道北見市
北見市廃棄物処理場最終処分場,"[143.894684, 43.802906]",北見市(北海道),98,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,3943000,埋立中,北海道北見市
夕張市富野じん芥埋立処分地施設,"[141.932663, 43.045746]",夕張市(北海道),57,山間,可燃ごみ・不燃ごみ・粗大ごみ・焼却残渣,287465,埋立中,北海道夕張市富野
岩見沢市一般廃棄物最終処分場,"[141.755951, 43.20116]",岩見沢市(北海道),100,山間,混合・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,513709,埋立終了,北海道岩見沢市一条
岩見沢市一般廃棄物最終処分場,"[141.755951, 43.20116]",岩見沢市(北海道),24,山間,混合・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,148500,埋立中,北海道岩見沢市一条
網走市廃棄物処理場最終処分場,"[144.273468, 44.020634]",網走市(北海道),97,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,836000,埋立中,北海道網走市
留萌市一般廃棄物処理施設最終処分場,"[141.636932, 43.941006]",留萌市(北海道),30,山間,不燃ごみ・破砕ごみ・中間処理残査,80500,埋立中,北海道留萌市
苫小牧市一般廃棄物埋立処分場,"[141.647125, 42.655079]",苫小牧市(北海道),87,山間,焼却残渣,194810,埋立終了,北海道苫小牧市一本松町
苫小牧市一般廃棄物最終処分場,"[141.647125, 42.655079]",苫小牧市(北海道),83,平地,不燃ごみ・粗大ごみ,359923,埋立中,北海道苫小牧市一本松町
苫小牧市沼ノ端埋立処分場,"[141.710419, 42.670681]",苫小牧市(北海道),13,平地,焼却残渣,205100,埋立中,北海道苫小牧市沼ノ端
稚内市ごみ処分場,"[141.673111, 45.415691]",稚内市(北海道),72,山間,混合・直接搬入ごみ・粗大ごみ,722971,埋立中,北海道稚内市
美唄市ごみ処理センター,"[141.853806, 43.332912]",美唄市(北海道),100,山間,不燃ごみ・直接搬入ごみ・焼却残渣,100725,埋立終了,北海道美唄市
美唄市ごみ処理センター（南美唄最終処分地施設）,"[141.853806, 43.332912]",美唄市(北海道),50,山間,不燃ごみ・直接搬入ごみ・焼却残渣,133823,埋立中,北海道美唄市
芦別市ごみ処理センター,"[142.189484, 43.518211]",芦別市(北海道),28,山間,混合・直接搬入ごみ・粗大ごみ,381900,埋立中,北海道芦別市
江別市一般廃棄物最終処分場,"[141.560867, 43.113327]",江別市(北海道),71,平地,不燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,463460,埋立中,北海道江別市一条
赤平市じん芥処理場,"[142.044174, 43.558048]",赤平市(北海道),91,山間,混合・直接搬入ごみ,308116,埋立中,北海道赤平市
赤平市じん芥処理場,"[142.044174, 43.558048]",赤平市(北海道),52,山間,混合・直接搬入ごみ,140193,埋立中,北海道赤平市
紋別市廃棄物埋立処分場,"[143.35437, 44.356373]",紋別市(北海道),70,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,720000,埋立中,北海道紋別市
士別市一般廃棄物最終処分場,"[142.400925, 44.178181]",士別市(北海道),85,山間,混合・粗大ごみ,313000,埋立中,北海道士別市
名寄市一般廃棄物最終処理場,"[142.463181, 44.355907]",名寄市(北海道),55,山間,混合・不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,296375,埋立中,北海道名寄市
三笠市みどりが丘環境センター埋立処分場,"[141.875244, 43.24567]",三笠市(北海道),31,山間,混合・その他・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,164000,埋立中,北海道三笠市
根室市埋立処理場,"[145.582794, 43.330067]",根室市(北海道),23,平地,不燃ごみ・粗大ごみ,217500,埋立中,北海道根室市
根室市ごみ埋立処分場,"[145.582794, 43.330067]",根室市(北海道),100,平地,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,607397,埋立中,北海道根室市
千歳市環境センター新最終処分場,"[141.651001, 42.821011]",千歳市(北海道),78,平地,直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,362764,埋立中,北海道千歳市
