factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste
incineration_facility,札幌市駒岡清掃工場,"[141.354401, 43.062077]",北海道札幌市,札幌市(北海道),117694,,有り
incineration_facility,札幌市白石清掃工場,"[141.396408, 43.045555]",北海道札幌市白石区,札幌市(北海道),189448,,有り
incineration_facility,札幌市発寒清掃工場,"[141.354401, 43.062077]",北海道札幌市,札幌市(北海道),128478,,有り
incineration_facility,函館市日乃出清掃工場(3号炉),"[140.752518, 41.77433]",北海道函館市日乃出町,函館市(北海道),50514,,有り
incineration_facility,函館市日乃出清掃工場(1、2号炉),"[140.752518, 41.77433]",北海道函館市日乃出町,函館市(北海道),31625,,有り
incineration_facility,函館市恵山クリーンセンター焼却施設,"[141.154785, 41.788414]",北海道函館市恵山町,函館市(北海道),0,休止,無し
incineration_facility,旭川市近文清掃工場,"[142.35466, 43.807224]",北海道旭川市近文,旭川市(北海道),74033,,無し
incineration_facility,北見市廃棄物処理場ごみ処理施設,"[143.894684, 43.802906]",北海道北見市,北見市(北海道),30727,,無し
incineration_facility,岩見沢じん芥処理センター(焼却施設),"[141.77536, 43.19603]",北海道岩見沢市,岩見沢市(北海道),0,休止,無し
incineration_facility,苫小牧市沼ノ端クリーンセンター,"[141.710419, 42.670681]",北海道苫小牧市沼ノ端,苫小牧市(北海道),49437.85,,無し
incineration_facility,江別市環境クリーンセンター,"[141.53624, 43.103745]",北海道江別市,江別市(北海道),32481,,無し
incineration_facility,根室市じん芥焼却場,"[145.582794, 43.330067]",北海道根室市,根室市(北海道),11571,,有り
incineration_facility,千歳市焼却処理場,"[141.651001, 42.821011]",北海道千歳市,千歳市(北海道),26510,,有り
incineration_facility,恵庭市ごみ焼却場,"[141.577774, 42.882584]",北海道恵庭市,恵庭市(北海道),0,休止,無し
incineration_facility,恵庭市焼却施設,"[141.577774, 42.882584]",北海道恵庭市,恵庭市(北海道),12745,,有り
incineration_facility,石狩市北石狩衛生センターごみ処理施設,"[141.392807, 43.23188]",北海道石狩市北生振,石狩市(北海道),18361,,無し
incineration_facility,奥尻町環境センター焼却処理場,"[139.51413, 42.172287]",北海道奥尻郡奥尻町,奥尻町(北海道),914,,有り
