都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
北海道,札幌市,札幌市駒岡清掃工場,117694,,有り
北海道,札幌市,札幌市白石清掃工場,189448,,有り
北海道,札幌市,札幌市発寒清掃工場,128478,,有り
北海道,札幌市,（仮称）札幌市新駒岡清掃工場,0,新設（建設中）,有り
北海道,函館市,函館市日乃出清掃工場(3号炉),50514,,有り
北海道,函館市,函館市日乃出清掃工場(1、2号炉),31625,,有り
北海道,函館市,函館市恵山クリーンセンター焼却施設,0,休止,無し
北海道,旭川市,旭川市近文清掃工場,74033,,無し
北海道,北見市,北見市廃棄物処理場ごみ処理施設,30727,,無し
北海道,岩見沢市,岩見沢じん芥処理センター(焼却施設),0,休止,無し
北海道,岩見沢市,いわみざわ環境クリーンプラザ　焼却施設,25465,,無し
北海道,苫小牧市,苫小牧市沼ノ端クリーンセンター,49437.85,,無し
北海道,江別市,江別市環境クリーンセンター,32481,,無し
北海道,根室市,根室市じん芥焼却場,11571,,有り
北海道,千歳市,千歳市焼却処理場,26510,,有り
北海道,登別市,クリンクルセンター,17309,,有り
北海道,恵庭市,恵庭市ごみ焼却場,0,休止,無し
北海道,恵庭市,恵庭市焼却施設,12745,,有り
北海道,石狩市,石狩市北石狩衛生センターごみ処理施設,18361,,無し
北海道,奥尻町,奥尻町環境センター焼却処理場,914,,有り
北海道,上富良野町,上富良野町クリーンセンター,2686,,無し
北海道,幌加内町,幌加内町一般廃棄物焼却施設,206,,無し
北海道,枝幸町,枝幸町水産廃棄物等処理施設,0,休止,無し
北海道,礼文町,礼文町衛生センターごみ焼却施設,857.36,,有り
北海道,津別町,津別町クリーンセンター,0,休止,無し
北海道,清里町,清掃センター,739,,無し
北海道,訓子府町,訓子府町一般廃棄物焼却施設,0,,無し
北海道,興部町,興部町一般廃棄物焼却炉,0,休止,無し
北海道,雄武町,雄武町廃棄物焼却処理場,0,休止,無し
北海道,大空町,大空町一般廃棄物焼却処理施設,852,,無し
北海道,浦河町,浦河町クリーンプラザ,2864,,無し
北海道,様似町,様似町クリーンセンター　焼却施設,975,,無し
北海道,えりも町,えりも町清掃センター,1043,,無し
北海道,新得町,新得町一般廃棄物中間処理施設,0,廃止,無し
北海道,標茶町,標茶町クリーンセンター,1933,,有り
北海道,弟子屈町,弟子屈町廃棄物処理施設,0,休止,無し
北海道,白糠町,白糠町クリーンセンター,0,,無し
北海道,白糠町,白糠町廃棄物簡易焼却炉,0,,無し
北海道,根室北部廃棄物処理広域連合,根室北部広域ごみ処理施設,11786,,無し
北海道,名寄地区衛生施設事務組合,炭化センター,3903,,無し
北海道,北しりべし廃棄物処理広域連合,北しりべし広域クリーンセンター,35358,,無し
北海道,岩内地方衛生組合,岩内地方清掃センター,5811,,無し
北海道,北部桧山衛生センター組合,北部桧山衛生センター組合焼却処理施設,3785,,有り
北海道,南渡島衛生施設組合,南渡島衛生センター,186,,無し
