都道府県名,地方公共団体名,施設名,埋め立て済み割合,埋立場所,処理対象廃棄物,全体容積(m3),処分場の現状
北海道,札幌市,札幌市第３山口処理場,20,平地,混合・可燃ごみ・不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,3386000,埋立中
北海道,札幌市,札幌市第２山口処理場,100,平地,混合・不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,2053000,埋立終了
北海道,札幌市,札幌市山本処理場,69,平地,混合・不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,10998000,埋立中
北海道,函館市,函館市七五郎廃棄物最終処分場,86,山間,不燃ごみ・その他・直接搬入ごみ,2362000,埋立中
北海道,函館市,函館市中の沢ごみ埋立処分場,100,山間,可燃ごみ・その他,4178000,埋立終了
北海道,小樽市,小樽市廃棄物処理場,100,山間,可燃ごみ・不燃ごみ・粗大ごみ・焼却残渣,1862000,埋立中
北海道,小樽市,小樽市廃棄物最終処分場,6,山間,可燃ごみ・不燃ごみ・粗大ごみ,1033000,埋立中
北海道,旭川市,旭川市中園廃棄物最終処分場,88,山間,混合・可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,4556100,埋立中
北海道,室蘭市,室蘭市神代最終処分場,16,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,1299169,埋立中
北海道,釧路市,釧路市高山ごみ最終処分場,91,山間,混合・可燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査,1942913,埋立中
北海道,釧路市,釧路市新高山ごみ最終処分場,0,山間,混合・可燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,844000,埋立前
北海道,北見市,北見市廃棄物処理場最終処分場,0,山間,破砕ごみ・中間処理残査・焼却残渣,168000,埋立前
北海道,北見市,北見市廃棄物処理場最終処分場,98,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,3943000,埋立中
北海道,夕張市,夕張市富野じん芥埋立処分地施設,57,山間,可燃ごみ・不燃ごみ・粗大ごみ・焼却残渣,287465,埋立中
北海道,岩見沢市,岩見沢市一般廃棄物最終処分場,100,山間,混合・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,513709,埋立終了
北海道,岩見沢市,岩見沢市一般廃棄物最終処分場,24,山間,混合・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,148500,埋立中
北海道,網走市,網走市廃棄物処理場最終処分場,97,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,836000,埋立中
北海道,留萌市,留萌市一般廃棄物処理施設最終処分場,30,山間,不燃ごみ・破砕ごみ・中間処理残査,80500,埋立中
