factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
bulky_waste,札幌市発寒破砕工場,"[141.354401, 43.062077]",北海道札幌市,札幌市(北海道),16763,1200,有り,1200,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,併用,,修理
bulky_waste,札幌市篠路清掃工場併設粗大ごみ破砕工場,"[141.354401, 43.062077]",北海道札幌市,札幌市(北海道),10858,723,有り,723,粗大ごみ・不燃ごみ・可燃ごみ,破砕,,機能なし
bulky_waste,札幌市駒岡清掃工場併設粗大ごみ破砕工場,"[141.354401, 43.062077]",北海道札幌市,札幌市(北海道),16751,1778,有り,1778,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,函館市南茅部クリーンセンター,"[140.728943, 41.768688]",北海道函館市,函館市(北海道),0,0,無し,0,粗大ごみ・不燃ごみ・資源ごみ,併用,休止,機能なし
bulky_waste,函館市恵山クリーンセンターリサイクル施設,"[141.154785, 41.788414]",北海道函館市恵山町,函館市(北海道),0,0,無し,0,粗大ごみ・不燃ごみ・資源ごみ,併用,休止,機能なし
bulky_waste,北見市廃棄物処理場リサイクルプラザ,"[143.894684, 43.802906]",北海道北見市,北見市(北海道),2562,533,無し,533,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,北見市常呂町一般廃棄物処理センター,"[143.844177, 43.96822]",北海道北見市常呂町,北見市(北海道),251,27,無し,27,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,網走市廃棄物処理場（破砕施設）,"[144.273468, 44.020634]",北海道網走市,網走市(北海道),4101,39,無し,39,粗大ごみ・不燃ごみ・その他,破砕,,譲渡
bulky_waste,苫小牧沼ノ端クリーンセンター破砕施設,"[141.60553, 42.634071]",北海道苫小牧市,苫小牧市(北海道),5557.27,743,無し,743,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,江別市環境クリーンセンター(不燃・粗大ごみ処理施設),"[141.53624, 43.103745]",北海道江別市,江別市(北海道),2770,218,無し,218,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,根室市ごみ埋立処理場,"[145.582794, 43.330067]",北海道根室市,根室市(北海道),1013,,有り,,粗大ごみ・不燃ごみ・資源ごみ,破砕,,機能なし
